<program, palavra_reservada>
<teste, id>
<;, simbolo_especial>
<var, palavra_reservada>
<x, id>
<,, simbolo_especial>
<y, id>
<:, simbolo_especial>
<integer, palavra_reservada>
<;, simbolo_especial>
<const, palavra_reservada>
<pi, id>
<:=, op>
<3.1416, num>
<;, simbolo_especial>
</* inicio do programa, id>
<*, op>
</, op>
<begin, palavra_reservada>
<read, id>
<(, simbolo_especial>
<x, id>
<), simbolo_especial>
<;, simbolo_especial>
<if, palavra_reservada>
<(, simbolo_especial>
<x, id>
<>, op>
<y, id>
<), simbolo_especial>
<then, palavra_reservada>
<y, id>
<:=, op>
<x, id>
<;, simbolo_especial>
<else, palavra_reservada>
<y, id>
<:=, op>
<-, op>
<x, id>
<;, simbolo_especial>
<writeln, id>
<(, simbolo_especial>
<x, id>
<), simbolo_especial>
<;, simbolo_especial>
<write, id>
<(, simbolo_especial>
<y, id>
<), simbolo_especial>
<;, simbolo_especial>
<end, palavra_reservada>
